"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"IT Info Systems","4.9","254","Shop No : 8,9, Six Corner, 7th Street","Coimbatore","Tamil Nadu","IN",,"+91 98943 65108","Computer wholesaler",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IT%20Info%20Systems&query_place_id=ChIJN5pv9fhYqDsR5VBQoEz3-No","Computer wholesaler"
"SMART IT",,,"61 FIRST FLOOR, 7th Street","Gandhipuram, Coimbatore","Tamil Nadu","IN",,"+91 99408 54024","Computer wholesaler",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SMART%20IT&query_place_id=ChIJKVpSKRhZqDsR3sXqM-dtt4M","Computer wholesaler"
"IT Konnect","4.9","561","74, 100 Feet Rd","Gandhipuram, Coimbatore","Tamil Nadu","IN","https://itkonnect.in/","+91 74185 60077","Computer service","Computer repair service","Data recovery service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=IT%20Konnect&query_place_id=ChIJ71vHTWtZqDsRiv6M1I5RZ8w","Computer service"
"Believe IT","4.8","512","Believe IT, Sri Krishna Complex, 11A, 10th St, near AXIS Bank","Gandhipuram, Coimbatore","Tamil Nadu","IN","http://www.believeit.co.in/","+91 98422 04647","Computer store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Believe%20IT&query_place_id=ChIJP3PrP8hZqDsRnixq52vLSoc","Computer store"
"IT World -HP Showroom in 100 Feet 2","4.6","658","4th St","Gandhipuram, Coimbatore","Tamil Nadu","IN","https://myitworld.com/","+91 96007 49977","Computer store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IT%20World%20-HP%20Showroom%20in%20100%20Feet%202&query_place_id=ChIJo7iThVZYqDsR5A-e9LTVlsc","Computer store"
"Infinit IT Solutions","4.8","13","2nd Floor, 96//1, 96/2, Chinnasamy Naidu Rd","New Siddhapudur, Coimbatore","Tamil Nadu","IN","https://infinititsolution.com/","+91 98945 87387","Computer wholesaler",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Infinit%20IT%20Solutions&query_place_id=ChIJOSL5w0RZqDsRBH9HVMdgczo","Computer wholesaler"
"IT Konnect - Laptop Service Center","4.9","1038","369, Dr Rajendra Prasad Rd, next to PSR Silks, opp. Bethal Hospital","Coimbatore","Tamil Nadu","IN","http://www.itkonnect.in/","+91 98947 59600","Computer repair service","Computer service","Data recovery service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=IT%20Konnect%20-%20Laptop%20Service%20Center&query_place_id=ChIJmSwYrfhYqDsRk-6ERd5eEtE","Computer repair service"
"Shri Vetrivel IT Care","4.9","131","Six Corner, 103/2, Dr Radhakrishna St","Coimbatore","Tamil Nadu","IN",,"+91 99426 61718","Computer service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shri%20Vetrivel%20IT%20Care&query_place_id=ChIJWVVVlfhYqDsRn3t7grcaHhs","Computer service"
"IT Konnect - Laptop Service Center","5","654","133, Second Floor, Kattor Road, PN Palayam Rd, above Maheswari Cars","Coimbatore","Tamil Nadu","IN","https://www.itkonnect.in/","+91 74182 30077","Computer repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IT%20Konnect%20-%20Laptop%20Service%20Center&query_place_id=ChIJvxxGvVZZqDsRv5yi5tXtaEE","Computer repair service"
"HUGE IT SOLUTIONS","5","65","416/1, veejay capella complex, 3, Cross Cut Road, Vivekananda Rd","Gandhipuram, Coimbatore","Tamil Nadu","IN","http://www.hugeitsolutions.com/","+91 90920 90077","Software company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HUGE%20IT%20SOLUTIONS&query_place_id=ChIJ47hG5YpZqDsR_bXe7bGMIek","Software company"
